City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
60,maceio,-9.6658,-35.7353,23.69,94,20,0.51,BR,1675821080
61,cap malheureux,-19.9842,57.6142,25.82,79,45,2.24,MU,1675820792
62,abrau-dyurso,44.69,37.59,-5.3,86,96,13.71,RU,1675821082
63,severo-kurilsk,50.6789,156.125,-3.99,54,12,4.27,RU,1675821083
64,hokitika,-42.7167,170.9667,17.84,52,61,7.17,NZ,1675821087
65,upernavik,72.7868,-56.1549,-30.09,96,48,1.79,GL,1675821088
66,gazli,40.1333,63.45,7.48,62,100,6.16,UZ,1675820940
67,salalah,17.0151,54.0924,20.05,52,0,1.54,OM,1675821092
68,lavrentiya,65.5833,-171.0,-25.72,92,97,1.24,RU,1675821094
69,malakal,9.5334,31.6605,23.54,16,0,4.48,SS,1675821095
70,saint anthony,45.0205,-93.218,-1.21,79,20,1.54,US,1675821095
71,esperance,-33.8667,121.9,21.43,66,88,4.91,AU,1675821096
72,vaini,-21.2,-175.2,28.09,89,75,3.09,TO,1675821096
73,kaitangata,-46.2817,169.8464,14.95,49,11,6.88,NZ,1675821097
74,san juan del parana,-27.3,-55.9667,31.03,48,0,2.06,PY,1675821097
75,aquiraz,-3.9014,-38.3911,27.32,78,100,5.02,BR,1675821098
76,general delgado,-27.1667,-56.5167,28.06,31,58,2.29,PY,1675821098
77,sovetskaya gavan,48.9723,140.2878,-12.76,63,45,3.46,RU,1675821098
78,wukari,7.85,9.7833,23.17,21,90,2.03,NG,1675821099
79,aswan,24.0934,32.907,9.61,49,0,3.6,EG,1675821099
80,richards bay,-28.783,32.0377,22.5,97,3,1.43,ZA,1675821100
81,kodiak,57.79,-152.4072,-1.27,51,0,7.72,US,1675821100
82,namibe,-15.1961,12.1522,21.12,75,95,2.09,AO,1675821100
83,sao filipe,14.8961,-24.4956,20.07,69,18,4.82,CV,1675821101
84,charters towers,-20.1,146.2667,31.02,50,96,4.66,AU,1675821101
85,ahvaz,31.3203,48.6693,9.97,71,0,1.03,IR,1675821101
86,havelock,34.8791,-76.9013,13.99,72,0,2.06,US,1675820734
87,bandarbeyla,9.4942,50.8122,24.97,75,98,6.98,SO,1675821102
88,chardara,41.2547,67.9692,2.91,75,100,3.8,KZ,1675820909
89,bethel,41.3712,-73.414,3.2,77,100,1.54,US,1675821102
90,bereda,43.2686,-7.5406,0.08,93,52,1.48,ES,1675821103
91,los llanos de aridane,28.6585,-17.9182,11.86,67,0,2.57,ES,1675821103
92,luderitz,-26.6481,15.1594,18.47,83,27,8.47,NA,1675821103
93,albany,42.6001,-73.9662,1.36,79,100,0.89,US,1675820932
94,vanimo,-2.6741,141.3028,25.22,95,100,3.6,PG,1675821104
95,clifton,40.8584,-74.1638,5.25,74,75,4.12,US,1675821048
96,avarua,-21.2078,-159.775,29.03,74,28,5.14,CK,1675821097
97,beloha,-25.1667,45.05,23.09,79,100,3.44,MG,1675821104
